policy_id,customer_id,age,gender,marital_status,number_of_dependents,annual_income_gbp,health_status,smoking_status,policy_type,sum_assured_gbp,monthly_premium_gbp,distribution_channel,policy_start_date,months_in_arrears,policy_status
POL-F556A41C,88-ab02-43a7-8fe5-5121b6085a62,53,Female,Married,3,120000,Excellent,Former smoker,Whole of Life (Flexible Premium),700000,325.9,IFA,2000-06-20,0,Active
POL-FFF47337,d9-807b-4b55-ba15-e605f31d46ad,26,Female,Married,1,54000,Good,Former smoker,Whole of Life,100000,67.4,Direct,2018-04-29,3,Active
POL-3A741F39,90-b192-4052-8b43-79a3b9052900,47,Female,Single,0,52000,Good,Non-smoker,Term Assurance,250000,60.7,Direct,2016-06-02,0,Active
POL-A6EA6AD3,63-89d3-4c9b-bfa6-a83134d3eaa6,47,Male,Single,0,62000,Good,Current smoker,Term Assurance,150000,38.1,Direct,2008-01-20,0,Active
POL-F290CAA2,31-5880-4d5a-99e3-29254d2d9ea9,52,Female,Married,3,155000,Excellent,Non-smoker,Whole of Life,900000,126.3,Bancassurance,2005-04-25,0,Active
POL-DE6360A2,23-207a-4023-934e-b24ca7aeeb13,30,Male,Married,3,72000,Excellent,Non-smoker,Term Assurance,520000,88.6,Bancassurance,2014-10-14,0,Active
POL-A17B7869,62-f5dc-46f3-aec8-39d1b24d43f4,52,Male,Married,2,130000,Excellent,Non-smoker,Whole of Life (Flexible Premium),300000,229.5,Online,2007-04-29,0,Active
POL-206B4B45,90-cef3-4c05-86b8-ab8bce5e5a43,65,Male,Widowed,2,52000,Fair,Current smoker,Term Assurance,300000,345.2,Direct,2013-03-19,1,Active
POL-B91922D1,50-122c-4830-aa48-e293d37cc96c,39,Female,Single,0,52000,Good,Non-smoker,Term Assurance,100000,38.4,IFA,2008-04-19,0,Active
POL-DA4F2674,2b-ed71-4810-b818-cd9179f36f82,37,Male,Divorced,2,120000,Good,Former smoker,Whole of Life (Flexible Premium),500000,267.5,Direct,2009-11-26,0,Active
POL-4588694A,93-834e-4934-a46a-55c984437325,65,Female,Widowed,1,42000,Fair,Former smoker,Whole of Life,300000,358.9,Direct,2014-03-25,0,Active
POL-B1014851,4a-b225-4e83-b4ea-9aa55bc61519,41,Female,Divorced,0,86000,Excellent,Non-smoker,Term Assurance,220000,110.2,IFA,2015-09-12,6,Lapsed
POL-4E5480E2,81-96d2-4eae-a125-d20540cd99bb,41,Female,Divorced,2,125000,Excellent,Non-smoker,Whole of Life (Flexible Premium),550000,309.7,Direct,2001-04-29,1,Matured
POL-36410794,15-df7b-43f0-a508-47a00d2877c0,57,Male,Married,3,120000,Good,Former smoker,Whole of Life (Flexible Premium),700000,573.0,Direct,2023-02-10,0,Active
POL-AD12F272,5b-f39c-4061-8935-1cc9532be670,28,Female,Married,2,120000,Good,Non-smoker,Whole of Life,100000,265.8,IFA,2009-11-29,0,Active
POL-5AAA0744,b1-c65e-4689-8828-3e9a73777ca9,42,Female,Divorced,0,46000,Good,Non-smoker,Term Assurance,100000,55.4,IFA,2001-06-02,0,Active
POL-37792D0C,d0-5bab-42e0-8c2e-09fcc59ca2c1,58,Male,Married,3,78000,Good,Non-smoker,Whole of Life (Flexible Premium),300000,115.7,Direct,2016-06-07,0,Active
POL-26723E77,43-7538-4bbe-8e8e-d1669d3aca23,49,Female,Married,2,96000,Good,Non-smoker,Whole of Life (Flexible Premium),750000,688.2,IFA,2012-12-27,0,Active
POL-986ACF89,4e-5596-4e74-b47b-9c14faac62c1,39,Male,Single,0,68000,Good,Non-smoker,Term Assurance,220000,78.0,Bancassurance,2001-06-02,0,Active
POL-421FADE3,d6-5e85-4e15-9048-aa58e8082c57,37,Female,Single,0,98000,Good,Non-smoker,Term Assurance,260000,75.0,Direct,2004-10-12,0,Matured
POL-06580F2A,59-5816-4171-aafa-669e1ec0f039,53,Female,Married,2,52000,Good,Non-smoker,Whole of Life,500000,187.3,Bancassurance,2000-03-20,0,Matured
POL-582C707C,64-feed-4771-9754-38b91d37ee51,39,Female,Single,0,52000,Good,Non-smoker,Term Assurance,150000,71.6,Bancassurance,2008-05-01,0,Active
POL-AC09AEBF,ab-33d8-4b3b-8945-e87151715be3,38,Male,Married,3,165000,Excellent,Non-smoker,Whole of Life (Flexible Premium),500000,127.8,Direct,2012-06-27,0,Active
POL-3F4AEBB3,95-7fb4-45ca-8bbe-8ae8c60e9dac,55,Female,Married,2,190000,Fair,Non-smoker,Whole of Life (Flexible Premium),200000,320.0,Direct,2011-06-15,0,Active
POL-1547B74E,cc-d24c-4db6-af2e-11efc0b6054f,26,Female,Married,2,72000,Good,Non-smoker,Whole of Life (Flexible Premium),350000,120.0,Online,2019-02-13,0,Active
POL-55A8F7E7,f3-4d09-4610-b31c-ae13e694141f,54,Male,Married,2,88000,Excellent,Non-smoker,Term Assurance,250000,426.7,Direct,2005-11-29,0,Active
POL-775A8811,9a-72c6-4852-9803-d79d6e17a8c7,26,Male,Married,1,64000,Excellent,Non-smoker,Term Assurance,220000,75.7,Direct,2000-01-14,0,Active
